公司名稱,股票代號,非主管年薪中位數(萬)
信驊,5274,400.4
聯發科,2454,343.8
瑞昱,2379,324.6
達發,6526,304.9
聯詠,3034,286.5
原相,3227,286.4
力旺,3529,271.8
台積電,2330,264.5
瑞鼎,3592,261.2
鈊象,3293,258.5
力領科技,6996,257
創意,3443,255.9
祥碩,5269,248.6
聯陽,3014,243.5
長榮,2603,241.5
矽創,8016,224.1
天鈺,4961,217.6
致新,8081,217.6
群聯,8299,213.7
和泰車,2207,210.3
陽明,2609,204.8
是方,6561,204.7
凌陽創新,5236,199.1
群光,2385,199
晶豪科,3006,196.9
新潤,6186,196.7
昇佳電子,6732,196
敦泰,3545,195.4
愛山林,2540,194.2
鴻海,2317,193.7
晶心科,6533,191.7
智擎,4162,184.8
義隆,2458,183.5
創惟,6104,182.9
智原,3035,180.2
昇陽,3266,177.7
M31,6643,175.8
威鋒電子,6756,174.3
華航,2610,172.2
凌通,4952,170.9
群電,6412,169.1
晶焱,6411,168.7
精成科,6191,168.6
亞泰,4974,168.4
漢唐,2404,167.4
揚智,3041,166.2
致伸,4915,166
威盛,2388,165.2
萬海,2615,164.5
凡甲,3526,163.8
新興,2605,163.4
大中,6435,162.3
長榮航,2618,161.7
聯電,2303,161.1
智易,3596,160.3
九暘,8040,159.2
鴻準,2354,158.8
中鋼構,2013,157.8
矽統,2363,157.4
中華電,2412,157.3
神基,3005,156.5
芯鼎,6695,156.1
弘塑,3131,155.9
和益,1709,155.6
類比科,3438,154.7
台達電,2308,154.3
力泰,5520,153.6
精拓科,4951,153.5
崇越,5434,152.8
華擎,3515,152.7
愛普*,6531,152.3
九齊,6494,152
華邦電,2344,151.3
宏觀,6568,151.2
華固,2548,150.3
通嘉,3588,150.3
中再保,2851,149.7
建碁,3046,149.7
廣達,2382,149
台灣虎航,6757,147.5
華碩,2357,147.3
菱光,8249,147
松翰,5471,146.9
華票,2820,146.3
裕民,2606,146.2
合庫金,5880,145.2
兆豐金,2886,144.6
中聯資源,9930,144.6
聚陽,1477,144.3
茂達,6138,144.3
長華*,8070,144.3
宏碁,2353,143.9
中碳,1723,143.2
宏普,2536,142.7
大統益,1232,142.2
冠德,2520,141.6
家碩,6953,140.5
第一金,2892,140.2
應廣,6716,140
亞信,3169,139.9
元大金,2885,139.7
金寶,2312,139.6
彰銀,2801,139.1
圓剛,2417,138
元大期貨,6023,137.9
宏碁資訊,6811,137.9
立隆電,2472,137.6
杰力,5299,136.8
博盛半導體,7712,136.4
迅杰,6243,135.5
京鼎,3413,135.1
中信金,2891,134.9
仁寶,2324,134.8
台塑化,6505,134.8
億豐,8464,134.5
遠雄,5522,134.1
旺矽,6223,133.2
崇越電,3388,132.6
上海商銀,5876,132.1
神盾,6462,131.9
達欣工,2535,131.3
廣明,6188,131.2
永信建,5508,130.8
光菱,8032,130.7
國泰金,2882,129.8
富邦金,2881,129.3
凱基金,2883,129.3
承啟,2425,129.2
長榮航太,2645,129.2
逸達,6576,129.2
微星,2377,128.6
士開,5324,128.2
力智,6719,128.2
台化,1326,127.9
新海,9926,127.9
海悅,2348,127.1
元太,8069,127
帆宣,6196,126.9
立積,4968,126.6
嘉澤,3533,126.5
訊連,5203,126.4
台塑,1301,126.2
永豐金,2890,126.1
聚積,3527,125.9
華晶科,3059,125.8
樺漢,6414,125.6
康全電訊,8089,125.5
緯創,3231,125.3
亞電,4939,124.9
新唐,4919,124.8
光寶科,2301,124.6
華南金,2880,124.6
廣宇,2328,124.4
凌陽,2401,124.3
臺企銀,2834,123.8
茂綸,6227,123.8
金麗科,3228,123.6
和碩,4938,123.5
玉山金,2884,122.9
朋億*,6613,122.7
長虹,5534,122.1
中鋼,2002,121.5
順天,5525,121.4
全福生技,6885,121.4
GOGOLOOK,6902,121.1
一零四,3130,121
統一證,2855,120.9
台新金,2887,120.9
遠東銀,2845,120.8
倚天酷碁-創,2432,120.7
群益期,6024,120.7
偉詮電,2436,120.6
晶宏,3141,120.4
志豐,3206,120.4
安格,6684,120.4
順達,3211,120.2
鈺太,6679,120.2
瑞軒,2489,120
達興材料,5234,120
旺宏,2337,119.9
皇翔,2545,119.8
威剛,3260,119.5
世界,5347,119.5
中鼎,9933,119.3
佳世達,2352,119.2
順藥,6535,119.2
關貿,6183,119.1
台汽電,8926,119
台肥,1722,118.7
中菲,5403,118.7
聰泰,5474,118.3
新普,6121,118.3
華立,3010,118.2
